entry_time,exit_time,direction,entry,exit,result,pnl,capital,year
2024-04-05 08:55:00+00:00,2024-04-05 09:05:00+00:00,short,67151.21,66853.99,TP,1.2332,62.8942,2024
2024-04-05 11:25:00+00:00,2024-04-05 11:50:00+00:00,short,66803.36,66509.94,TP,1.2579,64.1521,2024
2024-04-05 12:30:00+00:00,2024-04-05 12:45:00+00:00,short,66279.86,66523.41,SL,-0.6415,63.5106,2024
2024-04-05 16:00:00+00:00,2024-04-05 16:05:00+00:00,long,68352.6,68128.56,SL,-0.6351,62.8755,2024
2024-04-05 18:35:00+00:00,2024-04-05 19:30:00+00:00,long,67633.04,67988.57,TP,1.2575,64.133,2024
2024-04-05 20:35:00+00:00,2024-04-05 21:55:00+00:00,long,67710.13,67515.45,SL,-0.6413,63.4917,2024
2024-04-05 22:35:00+00:00,2024-04-05 22:55:00+00:00,long,67771.63,67628.53,SL,-0.6349,62.8568,2024
2024-04-06 00:35:00+00:00,2024-04-06 01:05:00+00:00,long,68028.11,67869.06,SL,-0.6286,62.2282,2024
2024-04-06 03:05:00+00:00,2024-04-06 05:25:00+00:00,long,67697.1,67999.99,TP,1.2446,63.4728,2024
2024-04-06 06:40:00+00:00,2024-04-06 07:25:00+00:00,long,68106.74,67967.53,SL,-0.6347,62.838,2024
2024-04-06 08:55:00+00:00,2024-04-06 09:30:00+00:00,long,68012.14,67870.0,SL,-0.6284,62.2097,2024
2024-04-06 10:50:00+00:00,2024-04-06 11:30:00+00:00,long,67833.05,67681.79,SL,-0.6221,61.5876,2024
2024-04-06 13:25:00+00:00,2024-04-06 14:00:00+00:00,short,67580.0,67802.9,SL,-0.6159,60.9717,2024
2024-04-06 17:15:00+00:00,2024-04-06 22:05:00+00:00,long,68188.75,68506.01,TP,1.2194,62.1911,2024
2024-04-07 01:10:00+00:00,2024-04-07 01:25:00+00:00,long,69212.02,69499.99,TP,1.2438,63.4349,2024
2024-04-07 02:25:00+00:00,2024-04-07 02:35:00+00:00,long,69643.43,69414.36,SL,-0.6343,62.8006,2024
2024-04-07 05:00:00+00:00,2024-04-07 06:35:00+00:00,long,69339.55,69196.0,SL,-0.628,62.1726,2024
2024-04-07 07:05:00+00:00,2024-04-07 14:50:00+00:00,long,69325.97,69608.66,TP,1.2435,63.416,2024
2024-04-07 16:10:00+00:00,2024-04-07 16:30:00+00:00,long,69900.0,70185.99,TP,1.2683,64.6844,2024
2024-04-07 19:20:00+00:00,2024-04-07 19:30:00+00:00,long,69497.99,69268.0,SL,-0.6468,64.0375,2024
2024-04-07 19:50:00+00:00,2024-04-07 20:00:00+00:00,short,68970.74,69187.27,SL,-0.6404,63.3971,2024
2024-04-07 21:35:00+00:00,2024-04-07 22:35:00+00:00,short,69116.06,69323.99,SL,-0.634,62.7632,2024
2024-04-08 00:00:00+00:00,2024-04-08 01:10:00+00:00,short,69268.56,69526.02,SL,-0.6276,62.1355,2024
2024-04-08 04:30:00+00:00,2024-04-08 05:05:00+00:00,short,69324.71,69490.2,SL,-0.6214,61.5142,2024
2024-04-08 07:00:00+00:00,2024-04-08 07:30:00+00:00,long,69942.0,70378.99,TP,1.2303,62.7445,2024
2024-04-08 12:10:00+00:00,2024-04-08 12:15:00+00:00,long,72719.99,72568.68,SL,-0.6274,62.117,2024
2024-04-08 15:00:00+00:00,2024-04-08 15:25:00+00:00,long,71840.09,71654.0,SL,-0.6212,61.4958,2024
2024-04-08 17:55:00+00:00,2024-04-08 18:40:00+00:00,long,71699.23,72064.14,TP,1.2299,62.7258,2024
2024-04-08 20:55:00+00:00,2024-04-09 00:20:00+00:00,long,71711.99,71540.01,SL,-0.6273,62.0985,2024
2024-04-09 03:35:00+00:00,2024-04-09 04:15:00+00:00,short,71352.28,71010.99,TP,1.242,63.3405,2024
