strategy,entry_time,exit_time,direction,entry,exit,result,pnl,capital,month
v1 Original,2026-04-20 15:25:00+00:00,2026-04-20 15:45:00+00:00,long,75747.39,75589.5,SL,-2.023,200.2803,2026-04
v1 Original,2026-04-20 17:10:00+00:00,2026-04-20 18:00:00+00:00,long,75686.3,76100.02,TP,4.0056,204.2859,2026-04
v1 Original,2026-04-20 18:50:00+00:00,2026-04-20 19:20:00+00:00,long,76448.27,76236.09,SL,-2.0429,202.243,2026-04
v1 Original,2026-04-20 22:05:00+00:00,2026-04-20 23:00:00+00:00,long,76086.26,75849.46,SL,-2.0224,200.2206,2026-04
v1 Original,2026-04-20 23:45:00+00:00,2026-04-21 01:05:00+00:00,long,75890.3,76199.69,TP,4.0044,204.225,2026-04
v1 Original,2026-04-21 06:30:00+00:00,2026-04-21 07:00:00+00:00,long,76088.85,75922.48,SL,-2.0423,202.1827,2026-04
v1 Original,2026-04-21 08:20:00+00:00,2026-04-21 08:45:00+00:00,long,76363.72,76684.71,TP,4.0437,206.2264,2026-04
v1 Original,2026-04-21 10:20:00+00:00,2026-04-21 11:10:00+00:00,long,76598.55,76429.98,SL,-2.0623,204.1641,2026-04
v1 Original,2026-04-21 15:00:00+00:00,2026-04-21 15:15:00+00:00,short,75681.54,75979.95,SL,-2.0416,202.1225,2026-04
v1 Original,2026-04-21 17:00:00+00:00,2026-04-21 17:15:00+00:00,short,75752.82,75107.18,TP,4.0424,206.1649,2026-04
v1 Original,2026-04-21 19:35:00+00:00,2026-04-21 19:40:00+00:00,short,75278.0,74874.37,TP,4.1233,210.2882,2026-04
v1 Original,2026-04-21 21:25:00+00:00,2026-04-21 23:00:00+00:00,short,75592.44,75776.85,SL,-2.1029,208.1853,2026-04
v1 Original,2026-04-22 02:10:00+00:00,2026-04-22 02:25:00+00:00,long,76756.59,77235.0,TP,4.1637,212.3491,2026-04
v1 Original,2026-04-22 05:20:00+00:00,2026-04-22 05:35:00+00:00,long,78217.86,78039.99,SL,-2.1235,210.2256,2026-04
v1 Original,2026-04-22 08:10:00+00:00,2026-04-22 08:25:00+00:00,long,78159.54,77980.0,SL,-2.1023,208.1233,2026-04
v1 Original,2026-04-22 09:25:00+00:00,2026-04-22 09:50:00+00:00,long,78171.96,78009.73,SL,-2.0812,206.0421,2026-04
v1 Original,2026-04-22 10:30:00+00:00,2026-04-22 13:20:00+00:00,long,78179.4,78500.53,TP,4.1208,210.1629,2026-04
v1 Original,2026-04-22 15:35:00+00:00,2026-04-22 16:20:00+00:00,long,79307.78,79032.47,SL,-2.1016,208.0613,2026-04
v1 Original,2026-04-22 17:50:00+00:00,2026-04-22 19:00:00+00:00,long,79024.01,78826.01,SL,-2.0806,205.9807,2026-04
v1 Original,2026-04-22 19:25:00+00:00,2026-04-22 19:35:00+00:00,long,79062.64,78904.43,SL,-2.0598,203.9209,2026-04
v1 Original,2026-04-22 21:10:00+00:00,2026-04-22 23:20:00+00:00,long,78620.85,78335.76,SL,-2.0392,201.8817,2026-04
