strategy,entry_time,exit_time,direction,entry,exit,result,risk_used,pnl,capital,streak
U2. Momentum Score,2026-04-01 09:55:00+00:00,2026-04-01 10:05:00+00:00,long,68618.85,68542.12,SL ❌,0.9402,-0.9402,93.0832,-2
U2. Momentum Score,2026-04-01 11:10:00+00:00,2026-04-01 12:00:00+00:00,long,68558.87,68488.15,SL ❌,0.4654,-0.4654,92.6178,-3
U2. Momentum Score,2026-04-01 12:15:00+00:00,2026-04-01 12:20:00+00:00,long,68631.77,68548.76,SL ❌,0.4631,-0.4631,92.1547,-4
U2. Momentum Score,2026-04-01 13:35:00+00:00,2026-04-01 13:40:00+00:00,long,68504.62,68006.92,SL ❌,0.4608,-0.4608,91.6939,-5
U2. Momentum Score,2026-04-01 14:20:00+00:00,2026-04-01 14:35:00+00:00,long,68444.41,68325.3,SL ❌,0.4585,-0.4585,91.2354,-6
U2. Momentum Score,2026-04-01 17:35:00+00:00,2026-04-01 18:00:00+00:00,short,68439.48,67981.91,TP ✅,0.4562,1.1404,92.3759,1
U2. Momentum Score,2026-04-01 19:15:00+00:00,2026-04-01 19:25:00+00:00,short,68045.77,68170.12,SL ❌,0.9238,-0.9238,91.4521,-1
U2. Momentum Score,2026-04-01 20:00:00+00:00,2026-04-01 20:45:00+00:00,short,68076.95,68159.45,SL ❌,0.9145,-0.9145,90.5376,-2
U2. Momentum Score,2026-04-02 08:15:00+00:00,2026-04-02 08:35:00+00:00,short,66692.56,66547.78,TP ✅,0.4527,1.1317,91.6693,1
U2. Momentum Score,2026-04-02 10:35:00+00:00,2026-04-02 11:10:00+00:00,short,66424.45,66247.01,TP ✅,0.9167,2.2917,93.961,2
U2. Momentum Score,2026-04-02 11:30:00+00:00,2026-04-02 11:55:00+00:00,short,66395.49,66194.65,TP ✅,1.4094,3.5235,97.4846,3
U2. Momentum Score,2026-04-02 13:30:00+00:00,2026-04-02 13:50:00+00:00,short,65883.95,66105.94,SL ❌,1.9497,-1.9497,95.5349,-1
U2. Momentum Score,2026-04-02 14:35:00+00:00,2026-04-02 15:20:00+00:00,long,66853.04,66712.26,SL ❌,0.9553,-0.9553,94.5795,-2
U2. Momentum Score,2026-04-02 15:25:00+00:00,2026-04-02 17:00:00+00:00,long,66835.34,66879.77,BE 〰,0.4729,0.0,94.5795,0
U2. Momentum Score,2026-04-02 17:50:00+00:00,2026-04-02 18:15:00+00:00,short,66778.43,66784.18,BE 〰,0.9458,0.0,94.5795,0
U2. Momentum Score,2026-04-02 18:50:00+00:00,2026-04-02 19:30:00+00:00,long,66982.16,66884.28,SL ❌,0.9458,-0.9458,93.6337,-1
U2. Momentum Score,2026-04-02 20:30:00+00:00,2026-04-02 21:05:00+00:00,long,66999.75,66918.16,SL ❌,0.9363,-0.9363,92.6974,-2
U2. Momentum Score,2026-04-03 10:55:00+00:00,2026-04-03 11:10:00+00:00,long,66879.49,66832.55,SL ❌,0.4635,-0.4635,92.2339,-3
U2. Momentum Score,2026-04-03 18:25:00+00:00,2026-04-03 18:40:00+00:00,long,66888.41,66843.06,SL ❌,0.4612,-0.4612,91.7727,-4
U2. Momentum Score,2026-04-03 19:50:00+00:00,2026-04-03 20:55:00+00:00,long,66874.2,66842.6,SL ❌,0.4589,-0.4589,91.3139,-5
U2. Momentum Score,2026-04-04 09:50:00+00:00,2026-04-04 10:10:00+00:00,long,66957.16,66920.42,SL ❌,0.4566,-0.4566,90.8573,-6
U2. Momentum Score,2026-04-04 10:40:00+00:00,2026-04-04 10:50:00+00:00,long,67030.56,67148.18,TP ✅,0.4543,1.1357,91.993,1
U2. Momentum Score,2026-04-04 13:20:00+00:00,2026-04-04 13:35:00+00:00,long,67090.92,67229.01,TP ✅,0.9199,2.2998,94.2929,2
U2. Momentum Score,2026-04-04 15:00:00+00:00,2026-04-04 15:10:00+00:00,long,67186.26,67379.13,TP ✅,1.4144,3.536,97.8288,3
U2. Momentum Score,2026-04-04 17:25:00+00:00,2026-04-04 17:35:00+00:00,long,67399.76,67336.55,SL ❌,1.9566,-1.9566,95.8723,-1
U2. Momentum Score,2026-04-04 19:05:00+00:00,2026-04-04 19:25:00+00:00,long,67409.79,67360.95,SL ❌,0.9587,-0.9587,94.9135,-2
U2. Momentum Score,2026-04-05 09:15:00+00:00,2026-04-05 09:25:00+00:00,long,66919.6,67001.05,TP ✅,0.4746,1.1864,96.1,1
U2. Momentum Score,2026-04-05 10:35:00+00:00,2026-04-05 10:40:00+00:00,long,67095.8,67040.58,SL ❌,0.961,-0.961,95.139,-1
U2. Momentum Score,2026-04-05 10:55:00+00:00,2026-04-05 11:25:00+00:00,long,67033.01,66979.57,SL ❌,0.9514,-0.9514,94.1876,-2
U2. Momentum Score,2026-04-05 14:00:00+00:00,2026-04-05 14:10:00+00:00,long,66930.84,66865.96,SL ❌,0.4709,-0.4709,93.7166,-3
U2. Momentum Score,2026-04-05 14:40:00+00:00,2026-04-05 14:45:00+00:00,long,66942.19,66898.7,SL ❌,0.4686,-0.4686,93.248,-4
U2. Momentum Score,2026-04-05 15:10:00+00:00,2026-04-05 15:25:00+00:00,long,66941.48,67427.82,TP ✅,0.4662,1.1656,94.4136,1
