entry_time,exit_time,direction,entry,exit,result,pnl,capital,spread_on
2026-03-30 22:10:00+00:00,2026-03-31 00:35:00+00:00,short,66713.7,66875.48,SL,-0.6914,54.6189,True
2026-03-31 05:30:00+00:00,2026-03-31 06:10:00+00:00,long,67569.37,67442.49,SL,-0.6827,53.9362,True
2026-03-31 07:00:00+00:00,2026-03-31 07:10:00+00:00,long,67429.16,67252.68,SL,-0.6742,53.262,True
2026-03-31 07:45:00+00:00,2026-03-31 08:25:00+00:00,long,67372.45,67263.38,SL,-0.6658,52.5962,True
2026-03-31 08:30:00+00:00,2026-03-31 08:55:00+00:00,short,67108.41,66766.41,TP,0.9204,53.5167,True
2026-03-31 13:00:00+00:00,2026-03-31 13:15:00+00:00,short,66682.7,66800.86,SL,-0.669,52.8477,True
2026-03-31 13:30:00+00:00,2026-03-31 13:35:00+00:00,short,66715.17,66862.83,SL,-0.6606,52.1871,True
2026-03-31 16:25:00+00:00,2026-03-31 16:40:00+00:00,long,67085.66,67853.55,TP,0.9133,53.1004,True
2026-03-31 19:10:00+00:00,2026-03-31 19:25:00+00:00,long,67945.22,67842.79,SL,-0.6638,52.4366,True
2026-03-31 20:10:00+00:00,2026-03-31 20:15:00+00:00,long,68111.42,67974.93,SL,-0.6555,51.7812,True
2026-03-31 20:35:00+00:00,2026-03-31 21:10:00+00:00,long,68063.59,67947.48,SL,-0.6473,51.1339,True
2026-03-31 21:50:00+00:00,2026-03-31 22:00:00+00:00,long,68285.15,68148.23,SL,-0.6392,50.4947,True
2026-03-31 23:10:00+00:00,2026-04-01 00:10:00+00:00,long,68187.86,68027.63,SL,-0.6312,49.8635,True
2026-04-01 00:55:00+00:00,2026-04-01 01:15:00+00:00,long,68230.67,68096.15,SL,-0.6233,49.2402,True
2026-04-01 03:05:00+00:00,2026-04-01 04:40:00+00:00,long,67886.59,68199.38,TP,0.8617,50.1019,True
2026-04-01 06:05:00+00:00,2026-04-01 06:35:00+00:00,long,68566.91,68968.51,TP,0.8768,50.9787,True
2026-04-01 09:50:00+00:00,2026-04-01 10:15:00+00:00,long,68641.14,68489.55,SL,-0.6372,50.3415,True
2026-04-01 10:40:00+00:00,2026-04-01 12:35:00+00:00,long,68506.86,68340.73,SL,-0.6293,49.7122,True
2026-04-01 13:20:00+00:00,2026-04-01 13:40:00+00:00,long,68457.61,68006.92,SL,-0.6214,49.0908,True
2026-04-01 14:20:00+00:00,2026-04-01 14:35:00+00:00,long,68444.41,68325.3,SL,-0.6136,48.4772,True
2026-04-01 16:30:00+00:00,2026-04-01 17:10:00+00:00,long,68850.52,68729.91,SL,-0.606,47.8712,True
2026-04-01 22:05:00+00:00,2026-04-02 00:40:00+00:00,short,68200.45,68401.56,SL,-0.5984,47.2728,True
