strategy,entry_time,exit_time,direction,entry,exit,result,pnl,capital
S3. Breakout + Momentum,2024-01-07 19:35:00+00:00,2024-01-07 22:15:00+00:00,long,44184.51,43956.86,SL ❌,-0.6219,61.5632
S3. Breakout + Momentum,2024-01-07 22:30:00+00:00,2024-01-07 22:35:00+00:00,short,43801.99,43916.55,SL ❌,-0.6156,60.9476
S3. Breakout + Momentum,2024-01-07 23:25:00+00:00,2024-01-07 23:50:00+00:00,short,43756.7,43858.24,SL ❌,-0.6095,60.3381
S3. Breakout + Momentum,2024-01-08 02:35:00+00:00,2024-01-08 02:50:00+00:00,short,43506.38,43310.0,TP ✅,1.2068,61.5449
S3. Breakout + Momentum,2024-01-08 06:20:00+00:00,2024-01-08 06:45:00+00:00,long,44049.73,43908.86,SL ❌,-0.6154,60.9294
S3. Breakout + Momentum,2024-01-08 09:50:00+00:00,2024-01-08 10:10:00+00:00,short,43703.82,43799.07,SL ❌,-0.6093,60.3201
S3. Breakout + Momentum,2024-01-08 10:25:00+00:00,2024-01-08 11:10:00+00:00,long,43991.11,44182.25,TP ✅,1.2064,61.5265
S3. Breakout + Momentum,2024-01-08 11:45:00+00:00,2024-01-08 11:55:00+00:00,long,44392.99,44635.99,TP ✅,1.2305,62.7571
S3. Breakout + Momentum,2024-01-08 12:00:00+00:00,2024-01-08 12:10:00+00:00,long,44959.34,45141.09,TP ✅,1.2551,64.0122
S3. Breakout + Momentum,2024-01-08 14:55:00+00:00,2024-01-08 15:30:00+00:00,short,44783.91,44935.83,SL ❌,-0.6401,63.3721
S3. Breakout + Momentum,2024-01-08 17:55:00+00:00,2024-01-08 18:00:00+00:00,long,45648.0,45962.21,TP ✅,1.2674,64.6395
S3. Breakout + Momentum,2024-01-08 18:35:00+00:00,2024-01-08 18:40:00+00:00,long,46638.08,46917.77,TP ✅,1.2928,65.9323
S3. Breakout + Momentum,2024-01-08 19:10:00+00:00,2024-01-08 19:15:00+00:00,long,47107.98,46989.99,SL ❌,-0.6593,65.273
S3. Breakout + Momentum,2024-01-09 00:30:00+00:00,2024-01-09 00:35:00+00:00,short,46812.59,46334.88,TP ✅,1.3055,66.5784
S3. Breakout + Momentum,2024-01-09 03:05:00+00:00,2024-01-09 04:10:00+00:00,long,46907.64,46788.02,SL ❌,-0.6658,65.9127
S3. Breakout + Momentum,2024-01-09 08:50:00+00:00,2024-01-09 12:00:00+00:00,short,46591.1,46712.01,SL ❌,-0.6591,65.2535
S3. Breakout + Momentum,2024-01-09 12:55:00+00:00,2024-01-09 13:00:00+00:00,short,46166.35,46597.99,SL ❌,-0.6525,64.601
S3. Breakout + Momentum,2024-01-09 18:05:00+00:00,2024-01-09 19:00:00+00:00,short,46570.57,46707.58,SL ❌,-0.646,63.955
S3. Breakout + Momentum,2024-01-09 21:10:00+00:00,2024-01-09 21:15:00+00:00,long,47918.36,46522.02,SL ❌,-0.6395,63.3154
S3. Breakout + Momentum,2024-01-10 03:15:00+00:00,2024-01-10 03:40:00+00:00,long,46181.1,46085.98,SL ❌,-0.6332,62.6823
S3. Breakout + Momentum,2024-01-10 04:55:00+00:00,2024-01-10 07:50:00+00:00,short,45960.98,45768.0,TP ✅,1.2536,63.9359
S3. Breakout + Momentum,2024-01-10 08:35:00+00:00,2024-01-10 08:55:00+00:00,short,45643.99,45329.94,TP ✅,1.2787,65.2147
S3. Breakout + Momentum,2024-01-10 11:50:00+00:00,2024-01-10 11:55:00+00:00,short,45391.56,45515.89,SL ❌,-0.6521,64.5625
S3. Breakout + Momentum,2024-01-10 12:50:00+00:00,2024-01-10 13:05:00+00:00,short,44700.67,44899.64,SL ❌,-0.6456,63.9169
S3. Breakout + Momentum,2024-01-10 15:55:00+00:00,2024-01-10 16:00:00+00:00,long,45546.4,45323.98,SL ❌,-0.6392,63.2777
S3. Breakout + Momentum,2024-01-10 17:35:00+00:00,2024-01-10 17:40:00+00:00,long,45914.54,46280.01,TP ✅,1.2656,64.5433
S3. Breakout + Momentum,2024-01-10 17:55:00+00:00,2024-01-10 18:00:00+00:00,long,46401.89,46590.44,TP ✅,1.2909,65.8341
S3. Breakout + Momentum,2024-01-10 20:10:00+00:00,2024-01-10 20:15:00+00:00,short,45548.56,45781.11,SL ❌,-0.6583,65.1758
S3. Breakout + Momentum,2024-01-10 22:20:00+00:00,2024-01-10 22:25:00+00:00,long,46501.65,46404.54,SL ❌,-0.6518,64.524
S3. Breakout + Momentum,2024-01-10 23:05:00+00:00,2024-01-10 23:15:00+00:00,long,47339.52,47632.4,TP ✅,1.2905,65.8145
S3. Breakout + Momentum,2024-01-11 03:10:00+00:00,2024-01-11 03:30:00+00:00,short,46424.31,46532.45,SL ❌,-0.6581,65.1564
S3. Breakout + Momentum,2024-01-11 05:35:00+00:00,2024-01-11 06:05:00+00:00,short,46105.26,45808.23,TP ✅,1.3031,66.4595
S3. Breakout + Momentum,2024-01-11 06:10:00+00:00,2024-01-11 06:30:00+00:00,short,45715.99,45807.71,SL ❌,-0.6646,65.7949
S3. Breakout + Momentum,2024-01-11 10:20:00+00:00,2024-01-11 10:40:00+00:00,long,46472.52,46732.01,TP ✅,1.3159,67.1108
S3. Breakout + Momentum,2024-01-11 10:45:00+00:00,2024-01-11 11:10:00+00:00,long,46761.1,46984.05,TP ✅,1.3422,68.453
S3. Breakout + Momentum,2024-01-11 11:20:00+00:00,2024-01-11 11:30:00+00:00,long,47127.99,46924.67,SL ❌,-0.6845,67.7685
S3. Breakout + Momentum,2024-01-11 12:55:00+00:00,2024-01-11 13:00:00+00:00,long,47449.63,47301.11,SL ❌,-0.6777,67.0908
S3. Breakout + Momentum,2024-01-11 14:00:00+00:00,2024-01-11 14:25:00+00:00,long,47639.35,47878.74,TP ✅,1.3418,68.4326
S3. Breakout + Momentum,2024-01-11 14:30:00+00:00,2024-01-11 14:35:00+00:00,long,47890.33,48084.87,TP ✅,1.3687,69.8013
S3. Breakout + Momentum,2024-01-11 14:40:00+00:00,2024-01-11 14:45:00+00:00,long,48524.1,48883.99,TP ✅,1.396,71.1973
S3. Breakout + Momentum,2024-01-11 20:00:00+00:00,2024-01-11 20:30:00+00:00,long,46813.82,46548.24,SL ❌,-0.712,70.4853
S3. Breakout + Momentum,2024-01-12 00:30:00+00:00,2024-01-12 00:35:00+00:00,short,46131.1,46395.98,SL ❌,-0.7049,69.7805
S3. Breakout + Momentum,2024-01-12 01:20:00+00:00,2024-01-12 01:30:00+00:00,short,45941.22,46087.99,SL ❌,-0.6978,69.0827
S3. Breakout + Momentum,2024-01-12 07:00:00+00:00,2024-01-12 08:20:00+00:00,short,45971.3,45779.62,TP ✅,1.3817,70.4643
S3. Breakout + Momentum,2024-01-12 11:25:00+00:00,2024-01-12 11:35:00+00:00,long,46221.84,46120.0,SL ❌,-0.7046,69.7597
S3. Breakout + Momentum,2024-01-12 14:35:00+00:00,2024-01-12 14:50:00+00:00,short,45399.9,45491.31,SL ❌,-0.6976,69.0621
S3. Breakout + Momentum,2024-01-12 15:15:00+00:00,2024-01-12 15:20:00+00:00,short,44986.45,44742.0,TP ✅,1.3812,70.4433
S3. Breakout + Momentum,2024-01-12 15:35:00+00:00,2024-01-12 16:05:00+00:00,short,44512.26,44664.0,SL ❌,-0.7044,69.7389
