entry_time,exit_time,direction,entry,exit,result,pnl,capital,risk_pct
2025-11-11 16:08:00+00:00,2025-11-11 16:11:00+00:00,short,103243.49,103540.3,SL,-1.9371,191.7733,1.0
2025-11-11 16:27:00+00:00,2025-11-11 17:40:00+00:00,short,103484.26,102903.21,TP,3.8355,195.6088,1.0
2025-11-11 18:08:00+00:00,2025-11-11 18:49:00+00:00,short,103211.36,103523.17,SL,-1.9561,193.6527,1.0
2025-11-11 19:00:00+00:00,2025-11-11 19:30:00+00:00,short,103209.09,103428.46,SL,-1.9365,191.7162,1.0
2025-11-11 19:35:00+00:00,2025-11-11 20:31:00+00:00,short,103259.12,102810.78,TP,3.8343,195.5505,1.0
2025-11-11 21:02:00+00:00,2025-11-11 21:09:00+00:00,short,102701.74,102915.71,SL,-1.9555,193.595,1.0
2025-11-11 21:22:00+00:00,2025-11-11 21:49:00+00:00,short,102918.69,102492.33,TP,3.8719,197.4669,1.0
2025-11-11 22:02:00+00:00,2025-11-11 22:11:00+00:00,short,102533.75,102813.53,SL,-1.9747,195.4922,1.0
2025-11-11 22:31:00+00:00,2025-11-11 22:51:00+00:00,short,102867.41,103103.75,SL,-1.9549,193.5373,1.0
2025-11-11 22:53:00+00:00,2025-11-11 23:02:00+00:00,long,103110.07,102831.4,SL,-1.9354,191.602,1.0
2025-11-11 23:12:00+00:00,2025-11-12 02:17:00+00:00,long,102960.84,103398.12,TP,3.832,195.434,1.0
2025-11-12 03:49:00+00:00,2025-11-12 04:30:00+00:00,long,103413.09,103200.01,SL,-1.9543,193.4797,1.0
2025-11-12 05:18:00+00:00,2025-11-12 07:56:00+00:00,long,103367.0,103158.59,SL,-1.9348,191.5449,1.0
2025-11-12 09:05:00+00:00,2025-11-12 09:11:00+00:00,long,104290.58,104862.49,TP,3.8309,195.3758,1.0
2025-11-12 09:56:00+00:00,2025-11-12 10:35:00+00:00,long,104542.37,104992.6,TP,3.9075,199.2833,1.0
2025-11-12 11:01:00+00:00,2025-11-12 13:19:00+00:00,long,104936.47,104690.6,SL,-1.9928,197.2904,1.0
2025-11-12 14:11:00+00:00,2025-11-12 14:35:00+00:00,long,104911.64,104694.77,SL,-1.9729,195.3175,1.0
2025-11-12 14:47:00+00:00,2025-11-12 15:14:00+00:00,short,104278.74,103732.0,TP,3.9064,199.2239,1.0
2025-11-12 15:36:00+00:00,2025-11-12 15:42:00+00:00,short,103125.02,102692.46,TP,3.9845,203.2084,1.0
2025-11-12 15:52:00+00:00,2025-11-12 16:08:00+00:00,short,102267.63,101833.49,TP,6.0963,209.3046,1.5
2025-11-12 16:11:00+00:00,2025-11-12 16:16:00+00:00,short,101459.38,101745.72,SL,-3.1396,206.165,1.5
2025-11-12 16:41:00+00:00,2025-11-12 17:39:00+00:00,short,101765.52,102122.34,SL,-3.0925,203.0726,1.5
2025-11-12 17:46:00+00:00,2025-11-12 19:06:00+00:00,short,101756.0,101319.63,TP,6.0922,209.1647,1.5
2025-11-12 19:28:00+00:00,2025-11-12 19:30:00+00:00,short,100899.99,101116.75,SL,-3.1375,206.0273,1.5
2025-11-12 19:31:00+00:00,2025-11-12 19:40:00+00:00,short,101005.19,101219.99,SL,-3.0904,202.9369,1.5
2025-11-12 19:58:00+00:00,2025-11-12 20:11:00+00:00,short,101280.0,101521.98,SL,-3.0441,199.8928,1.5
2025-11-12 21:33:00+00:00,2025-11-12 22:13:00+00:00,long,101819.47,101610.74,SL,-1.9989,197.8939,1.0
2025-11-12 23:15:00+00:00,2025-11-12 23:44:00+00:00,long,101815.54,101562.24,SL,-1.9789,195.9149,1.0
2025-11-13 00:20:00+00:00,2025-11-13 00:37:00+00:00,short,101708.51,101937.23,SL,-1.9591,193.9558,1.0
2025-11-13 00:53:00+00:00,2025-11-13 01:11:00+00:00,long,101919.28,102406.96,TP,3.8791,197.8349,1.0
2025-11-13 01:35:00+00:00,2025-11-13 01:53:00+00:00,long,102265.2,102011.29,SL,-1.9783,195.8566,1.0
2025-11-13 02:04:00+00:00,2025-11-13 03:09:00+00:00,long,102117.06,101843.83,SL,-1.9586,193.898,1.0
2025-11-13 05:05:00+00:00,2025-11-13 05:28:00+00:00,short,101977.09,102195.06,SL,-1.939,191.959,1.0
2025-11-13 06:20:00+00:00,2025-11-13 07:02:00+00:00,long,103325.0,103750.53,TP,3.8392,195.7982,1.0
2025-11-13 07:23:00+00:00,2025-11-13 07:36:00+00:00,long,103893.48,103679.27,SL,-1.958,193.8402,1.0
2025-11-13 07:59:00+00:00,2025-11-13 09:07:00+00:00,long,103475.66,103144.24,SL,-1.9384,191.9018,1.0
2025-11-13 09:47:00+00:00,2025-11-13 10:19:00+00:00,short,102935.46,103175.08,SL,-1.919,189.9828,1.0
2025-11-13 10:29:00+00:00,2025-11-13 13:28:00+00:00,short,103073.55,102570.25,TP,3.7997,193.7825,1.0
2025-11-13 13:56:00+00:00,2025-11-13 14:05:00+00:00,short,102285.21,102499.99,SL,-1.9378,191.8446,1.0
2025-11-13 14:13:00+00:00,2025-11-13 14:20:00+00:00,short,102238.05,102444.51,SL,-1.9184,189.9262,1.0
2025-11-13 14:35:00+00:00,2025-11-13 14:40:00+00:00,short,102152.42,102410.89,SL,-1.8993,188.0269,1.0
2025-11-13 15:02:00+00:00,2025-11-13 15:12:00+00:00,short,102474.01,102703.43,SL,-1.8803,186.1466,1.0
2025-11-13 15:14:00+00:00,2025-11-13 15:18:00+00:00,long,102845.7,102579.28,SL,-1.8615,184.2852,1.0
2025-11-13 16:18:00+00:00,2025-11-13 16:34:00+00:00,short,100936.47,101348.27,SL,-1.8429,182.4423,1.0
2025-11-13 16:42:00+00:00,2025-11-13 17:00:00+00:00,short,100982.94,100554.25,TP,3.6488,186.0912,1.0
2025-11-13 17:10:00+00:00,2025-11-13 17:15:00+00:00,short,100515.54,100725.29,SL,-1.8609,184.2303,1.0
2025-11-13 17:21:00+00:00,2025-11-13 17:41:00+00:00,short,100400.01,99889.18,TP,3.6846,187.9149,1.0
2025-11-13 17:51:00+00:00,2025-11-13 18:08:00+00:00,short,99884.15,99474.58,TP,3.7583,191.6732,1.0
2025-11-13 18:25:00+00:00,2025-11-13 18:29:00+00:00,short,98896.13,99100.17,SL,-1.9167,189.7564,1.0
2025-11-13 18:33:00+00:00,2025-11-13 18:38:00+00:00,short,98711.44,98269.06,TP,3.7951,193.5516,1.0
2025-11-13 19:17:00+00:00,2025-11-13 19:22:00+00:00,short,98498.97,98798.7,SL,-1.9355,191.616,1.0
